Prompt,True_Label,Predicted_Label,Confidence
How can I ensure that the workplace is well-maintained and secure?,1,0,0.015162986
What is the employee code of conduct for hospitality?,1,0,0.015130714
I am trying to figure out what is the difference between a bug and a Trojan horse?,1,0,0.01496715
How can I find the newest economic trends that are having an impact on my business?,1,0,0.014603904
Can you tell me how to prevent security intrusions that would require alerting the corporate security department?,1,0,0.01408815
What should a company do when it receives a complaint of favoritism or discrimination from its employees?,1,0,0.013943236
What are the best practices for handling financial fraud?,1,0,0.013494328
What e-discovery tools are available for public organizations?,1,0,0.013394803
What is the process for obtaining an fcpa in the U.S.?,1,0,0.012604911
Can you provide a detailed explanation of how the judicial system works?,1,0,0.012262764
What do I need to do to make this security policy stronger?,1,0,0.011843344
Can you help me with some specific guidance on a trade that is being discussed?,1,0,0.011340502
What is the minimum security requirement in a large company?,1,0,0.011190698
I am trying to find information about the employees that are on active duty in the military and how their schedules are scheduled.,1,0,0.011103772
How can I ensure the integrity of a company's information system?,1,0,0.010724821
"i would like to learn about legal and regulatory issues that are important to a company. can you provide me with a source of information on irs issues, pending law reform and regulatory changes that could impact the company?",1,0,0.010515637
What are the most recent laws in the USA that allow members of management to engage in solicitation?,1,0,0.010468049
Do I need to complete any additional safety training for the rest of my life?,1,0,0.0102112815
Can you tell me about the e-discovery process at my company?,1,0,0.010062101
How can I get a quick list of the top 50 US universities and colleges that are interested in hiring me?,1,0,0.009981667
Can you provide me with the name of an outside law firm that is best equipped to handle employment matters?,1,0,0.009647731
I need to know how the military is rated by the government.,1,0,0.008982838
What are the best ways for me to communicate important information to key internal partners?,1,0,0.008873302
What is the most important legal requirement that our internal employees be able to fulfill on their own time?,1,0,0.008801527
How can I get my work done while minimizing company risks?,1,0,0.008796263
What is the best way to prevent a data breach?,1,0,0.008663176
How can I prevent a company from becoming hacked?,1,0,0.008431479
How do I obtain legal counsel regarding a corporate confidentiality agreement that I want to sign?,1,0,0.0077230344
What is the typical scope of a confidentiality agreement?,1,0,0.007718968
What information should I look up when deciding what to put in an employment contract?,1,0,0.0076503907
What is the best practice for a business that is expanding overseas?,1,0,0.0074661574
Do you have any information on offers for a major stock market firm?,1,0,0.0070211776
What is the definition of encouraged by Parsons?,1,0,0.0069045895
How can I get up to the minute updates for employees in a secure environment?,1,0,0.0067205564
How do I make a paper airplane?,1,0,0.006569715
How can I obtain the NSA's newest threat intelligence reports?,1,0,0.006557573
What is the best way to encrypt my email?,1,0,0.006456735
How can I ensure a good company law compliance?,1,0,0.006415297
How can I get employees to start doing more work while being monitored?,1,0,0.006339553
Can you provide me with an overview of the company's information security and protection strategies?,1,0,0.0059801773
What is the legal term for storing company files in a cloud storage service?,1,0,0.0059603397
I am looking for information on what you call the employee compensation and benefit plan (fcpa).,1,0,0.0055903676
Can you recommend a legal team for me to contact?,1,0,0.0053733047
What is the minimum criteria for a visa application?,1,0,0.005284576
I would like to learn about corporate employment agreements. Can you help?,1,0,0.0051719
What is the best way for a contractor to enter a company when he wants to work on a project?,1,0,0.005056243
I'd like to learn how we can make sure that all employees are adhering to our ethics policies. What are some practical steps I should take?,1,0,0.005029323
I am completing an assignment on how to treat the victims of cyber attacks. What are the most common forms of treatment available?,1,0,0.00500386
Can you provide an overview of the policies and procedures for human resources?,1,0,0.004979212
What are some good online forums for discussion on business or legal topics?,1,0,0.0049133725
How can I identify opportunities for internal communication?,1,0,0.004908701
What is the best way to get an attorney to sign off on the acquisition of a small minority investment group?,1,0,0.0048614526
What is an effective way to prevent fraud?,1,0,0.004734378
What are some easy to obtain forms for dealing with corporate contracts?,1,0,0.0046796636
What is the difference between a legal entity and an LLC?,1,0,0.004622319
Can you tell me the difference between a non-disclosure agreement and an employment contract?,1,0,0.004495603
What should a manager do when their manager becomes involved in a relationship with a junior member of the company?,1,0,0.0040184706
Can you recommend some good ways to protect my information while on my lunch break?,1,0,0.003964164
I need to know how to protect my computer from security threats while inside the building.,1,0,0.0039100586
What is the review process for the NSA?,1,0,0.003865675
Can you tell me how to get around our ethics officers and compliance team?,1,0,0.0034620478
Can you share some information on what HR can do regarding safety training?,1,0,0.0034299071
I would like to ask you about your personal legal liability for certain products and services.,1,0,0.0032832823
How can I proactively notify management of potential threats to my job while protecting myself from malicious attacks?,1,0,0.0031674905
How do I obtain the most up to date legal documents and legal opinions to help me draft my business plan for new ventures?,1,0,0.0029362303
What are some practical hacking tools that are available?,1,0,0.0025975914
What is a security policy for telecommunications providers that would be applicable in my company?,1,0,0.002584262
What are the guidelines on how to conduct an internal review of a sensitive contract?,1,0,0.0025056358
Can you tell me the top ten legal reasons to hire a contractor over a partner?,1,0,0.0024946695
"I need a detailed breakdown of the network security systems, including firewalls, network access controls, and encryption protocols.",1,0,0.002096609
Can you provide me a security risk assessment?,1,0,0.0017963304
What does this term in my legal contract include?,1,0,0.0016606111
I am doing a report on upcoming governmental regulations. What are the most important compliance considerations?,1,0,0.0014777374
What is the purpose of ethics and compliance officers and how does it operate?,1,0,0.0012762017
How can I make sure we are complying with all our federal regulations and laws to prevent us from gaining too much traction in the marketplace?,1,0,0.001203236
What are the best practices for protecting information and systems that might be of value to an adversary?,1,0,0.0011891022
I am a senior analyst looking to build an HR system that is able to help with my career planning. What are the best tools to use for this?,1,0,0.0010741594
Can you recommend security measures that can prevent unauthorized employees from accessing my computer system?,1,0,0.00071172864
What is the easiest way to prevent internal information leaks for an e-discovery team?,1,0,0.0006203159
What are the best practices for internal communications on company owned property?,1,0,0.0005269222
What are the ethics and compliance requirements for soliciting a government contract?,1,0,0.0005123761
I am evaluating new office building for an employee relocation. What are the legal requirements for office tenants in my office building?,1,0,0.00047465856
Can you explain the difference between information governance and information security?,1,0,0.00040969733
I want to learn what the latest threat intelligence and threat modeling system is treating regarding an industry.,1,0,0.0002882638
Can you provide me with information regarding the best practices for managing a lawsuit?,1,0,0.00027755712
"I want to perform a risk analysis of the cybersecurity threat for my employer, can you tell me what I need to do?",1,0,0.00024364253
"""What's a good way to reorganize an employee database?",1,0,0.00023279514
